x,u,r,p
2.82565e-01,8.00347e-02,9.34164e-01,9.09060e-01
2.84569e-01,8.83847e-02,9.27500e-01,8.99994e-01
2.86573e-01,9.67347e-02,9.20874e-01,8.91006e-01
2.88577e-01,1.05085e-01,9.14287e-01,8.82095e-01
2.90581e-01,1.13435e-01,9.07737e-01,8.73261e-01
2.92585e-01,1.21785e-01,9.01224e-01,8.64502e-01
2.94589e-01,1.30135e-01,8.94749e-01,8.55819e-01
2.96593e-01,1.38485e-01,8.88312e-01,8.47211e-01
2.98597e-01,1.46835e-01,8.81911e-01,8.38677e-01
3.00601e-01,1.55185e-01,8.75547e-01,8.30217e-01
3.02605e-01,1.63535e-01,8.69220e-01,8.21830e-01
3.04609e-01,1.71885e-01,8.62930e-01,8.13516e-01
3.06613e-01,1.80235e-01,8.56676e-01,8.05274e-01
3.08617e-01,1.88585e-01,8.50459e-01,7.97103e-01
3.10621e-01,1.96935e-01,8.44278e-01,7.89004e-01
3.12625e-01,2.05285e-01,8.38132e-01,7.80976e-01
3.14629e-01,2.13635e-01,8.32023e-01,7.73018e-01
3.16633e-01,2.21985e-01,8.25949e-01,7.65129e-01
3.18637e-01,2.30335e-01,8.19911e-01,7.57309e-01
3.20641e-01,2.38685e-01,8.13908e-01,7.49558e-01
3.22645e-01,2.47035e-01,8.07940e-01,7.41875e-01
3.24649e-01,2.55385e-01,8.02008e-01,7.34260e-01
3.26653e-01,2.63735e-01,7.96110e-01,7.26712e-01
3.28657e-01,2.72085e-01,7.90247e-01,7.19230e-01
3.30661e-01,2.80435e-01,7.84418e-01,7.11815e-01
3.32665e-01,2.88786e-01,7.78624e-01,7.04465e-01
3.34669e-01,2.97136e-01,7.72865e-01,6.97180e-01
3.36673e-01,3.05486e-01,7.67139e-01,6.89960e-01
3.38677e-01,3.13836e-01,7.61448e-01,6.82804e-01
3.40681e-01,3.22186e-01,7.55790e-01,6.75712e-01
3.42685e-01,3.30536e-01,7.50166e-01,6.68683e-01
3.44689e-01,3.38886e-01,7.44575e-01,6.61717e-01
3.46693e-01,3.47236e-01,7.39018e-01,6.54813e-01
3.48697e-01,3.55586e-01,7.33494e-01,6.47971e-01
3.50701e-01,3.63936e-01,7.28004e-01,6.41190e-01
3.52705e-01,3.72286e-01,7.22546e-01,6.34470e-01
3.54709e-01,3.80636e-01,7.17121e-01,6.27811e-01
3.56713e-01,3.88986e-01,7.11728e-01,6.21212e-01
3.58717e-01,3.97336e-01,7.06368e-01,6.14672e-01
3.60721e-01,4.05686e-01,7.01040e-01,6.08191e-01
3.62725e-01,4.14036e-01,6.95745e-01,6.01769e-01
3.64729e-01,4.22386e-01,6.90482e-01,5.95406e-01
3.66733e-01,4.30736e-01,6.85250e-01,5.89100e-01
3.68737e-01,4.39086e-01,6.80050e-01,5.82851e-01
3.70741e-01,4.47436e-01,6.74882e-01,5.76659e-01
3.72745e-01,4.55786e-01,6.69746e-01,5.70524e-01
3.74749e-01,4.64136e-01,6.64640e-01,5.64445e-01
3.76754e-01,4.72486e-01,6.59566e-01,5.58421e-01
3.78758e-01,4.80836e-01,6.54523e-01,5.52452e-01
3.80762e-01,4.89186e-01,6.49511e-01,5.46539e-01
3.82766e-01,4.97536e-01,6.44529e-01,5.40679e-01
3.84770e-01,5.05886e-01,6.39578e-01,5.34874e-01
3.86774e-01,5.14236e-01,6.34658e-01,5.29122e-01
3.88778e-01,5.22586e-01,6.29768e-01,5.23423e-01
3.90782e-01,5.30936e-01,6.24908e-01,5.17777e-01
3.92786e-01,5.39287e-01,6.20078e-01,5.12183e-01
3.94790e-01,5.47637e-01,6.15278e-01,5.06641e-01
3.96794e-01,5.55987e-01,6.10508e-01,5.01151e-01
3.98798e-01,5.64337e-01,6.05768e-01,4.95711e-01
4.00802e-01,5.72687e-01,6.01057e-01,4.90322e-01
4.02806e-01,5.81037e-01,5.96375e-01,4.84984e-01
4.04810e-01,5.89387e-01,5.91723e-01,4.79695e-01
4.06814e-01,5.97737e-01,5.87099e-01,4.74456e-01
